interval,kWh
2020-01-01T00:00,0.1863438116015459
2020-01-01T00:15,0.1863438115997269
2020-01-01T00:30,0.1863438116015459
2020-01-01T00:45,0.1863438115979079
2020-01-01T01:00,0.1863438115997269
2020-01-01T01:15,0.1863438116015459
2020-01-01T01:30,0.1863438115997269
2020-01-01T01:45,0.1863438115979079
2020-01-01T02:00,0.1863438116015459
2020-01-01T02:15,0.1863438115997269
2020-01-01T02:30,0.1863438115997269
2020-01-01T02:45,0.1863438116015459
2020-01-01T03:00,0.1863438115979079
2020-01-01T03:15,0.1863438115997269
2020-01-01T03:30,0.1863438116015459
2020-01-01T03:45,0.1863438115997269
2020-01-01T04:00,0.1863438116015459
2020-01-01T04:15,0.1863438115979079
2020-01-01T04:30,0.1863438114996825
2020-01-01T04:45,0.1863438116015459
2020-01-01T05:00,0.1863438115997269
2020-01-01T05:15,0.1863438115979079
2020-01-01T05:30,0.1863438116015459
2020-01-01T05:45,0.1863438115997269
2020-01-01T06:00,0.1863438115997269
2020-01-01T06:15,0.1863438116015459
2020-01-01T06:30,0.1863438115979079
2020-01-01T06:45,0.1863438116015459
2020-01-01T07:00,0.1863438115997269
2020-01-01T07:15,0.1863438115997269
2020-01-01T07:30,0.1863438116015459
2020-01-01T07:45,0.1863438115979079
2020-01-01T08:00,0.1863438115997269
2020-01-01T08:15,0.1863438116015459
2020-01-01T08:30,0.1863438115997269
2020-01-01T08:45,0.1863438115979079
2020-01-01T09:00,0.1863438116015459
2020-01-01T09:15,0.1863438115997269
2020-01-01T09:30,0.1863438116015459
2020-01-01T09:45,0.1863438114996825
2020-01-01T10:00,0.1863438115979079
2020-01-01T10:15,0.1863438116015459
2020-01-01T10:30,0.1863438115997269
2020-01-01T10:45,0.1863438115997269
2020-01-01T11:00,0.1863438116015459
2020-01-01T11:15,0.1863438115979079
2020-01-01T11:30,0.1863438115997269
2020-01-01T11:45,0.1863438116015459
2020-01-01T12:00,0.1863438115997269
2020-01-01T12:15,0.1863438116015459
2020-01-01T12:30,0.1863438115979079
2020-01-01T12:45,0.1863438115997269
2020-01-01T13:00,0.1863438116015459
2020-01-01T13:15,0.1863438115997269
2020-01-01T13:30,0.1863438115979079
2020-01-01T13:45,0.1863438116015459
2020-01-01T14:00,0.1863438115997269
2020-01-01T14:15,0.1863438115997269
2020-01-01T14:30,0.1863438116015459
2020-01-01T14:45,0.1863438115979079
2020-01-01T15:00,0.1863438115015014
2020-01-01T15:15,0.1863438115997269
2020-01-01T15:30,0.1863438115997269
2020-01-01T15:45,0.1863438116015459
2020-01-01T16:00,0.1863438115979079
2020-01-01T16:15,0.1863438115997269
2020-01-01T16:30,0.1863438116015459
2020-01-01T16:45,0.1863438115997269
2020-01-01T17:00,0.1863438115979079
2020-01-01T17:15,0.1863438116015459
2020-01-01T17:30,0.1863438115997269
2020-01-01T17:45,0.1863438115997269
2020-01-01T18:00,0.1863438116015459
2020-01-01T18:15,0.1863438115979079
2020-01-01T18:30,0.1863438116015459
2020-01-01T18:45,0.1863438115997269
2020-01-01T19:00,0.1863438115997269
2020-01-01T19:15,0.1863438116015459
2020-01-01T19:30,0.1863438115979079
2020-01-01T19:45,0.1863438115997269
2020-01-01T20:00,0.1863438116015459
2020-01-01T20:15,0.1863438114996825
2020-01-01T20:30,0.1863438115979079
2020-01-01T20:45,0.1863438116015459
2020-01-01T21:00,0.1863438115997269
2020-01-01T21:15,0.1863438116015459
2020-01-01T21:30,0.1863438115997269
2020-01-01T21:45,0.1863438115979079
2020-01-01T22:00,0.1863438116033648
2020-01-01T22:15,0.1863438115979079
2020-01-01T22:30,0.1863438115997269
2020-01-01T22:45,0.1863438116015459
2020-01-01T23:00,0.1863438115997269
2020-01-01T23:15,0.1863438115979079
2020-01-01T23:30,0.1863438116015459
2020-01-01T23:45,0.1863438115997269
2020-01-02T00:00,0.1863438116015459
2020-01-02T00:15,0.1863438115997269
2020-01-02T00:30,0.1863438115979079
2020-01-02T00:45,0.1863438116015459
2020-01-02T01:00,0.1863438115997269
2020-01-02T01:15,0.1863438115997269
2020-01-02T01:30,0.1863438115015014
2020-01-02T01:45,0.1863438115979079
2020-01-02T02:00,0.1863438115997269
2020-01-02T02:15,0.1863438116015459
2020-01-02T02:30,0.1863438115997269
2020-01-02T02:45,0.1863438116015459
2020-01-02T03:00,0.1863438115979079
2020-01-02T03:15,0.1863438115997269
2020-01-02T03:30,0.1863438116015459
2020-01-02T03:45,0.1863438115997269
2020-01-02T04:00,0.1863438115979079
2020-01-02T04:15,0.1863438116015459
2020-01-02T04:30,0.1863438115997269
2020-01-02T04:45,0.1863438115997269
2020-01-02T05:00,0.1863438116015459
2020-01-02T05:15,0.1863438115979079
2020-01-02T05:30,0.1863438115997269
