interval,Pv,Load,surplus
2019-01-01 00:00:00,6.756000000000001,8.405776008199153,-1.6497760081991517
2019-01-02 00:00:00,26.315999999999995,12.35639949580036,13.959600504199635
2019-01-03 00:00:00,9.688000000000002,9.170867671099584,0.5171323289004182
2019-01-04 00:00:00,0.6080000000000001,11.657775578000837,-11.049775578000837
2019-01-05 00:00:00,8.940000000000001,13.029813869399732,-4.08981386939973
2019-01-06 00:00:00,19.152000000000008,8.758958511799847,10.393041488200161
2019-01-07 00:00:00,1.1280000000000003,5.663529521399595,-4.535529521399595
2019-01-08 00:00:00,1.4199999999999995,9.040909500800353,-7.620909500800353
2019-01-09 00:00:00,2.728000000000001,6.491033999700448,-3.7630339997004465
2019-01-10 00:00:00,22.332,7.551889517399557,14.780110482600444
2019-01-11 00:00:00,0.7800000000000001,6.541339862500079,-5.761339862500079
2019-01-12 00:00:00,2.9999999999999996,8.506139195000287,-5.506139195000287
2019-01-13 00:00:00,4.139999999999998,10.364514784199853,-6.224514784199855
2019-01-14 00:00:00,30.26,6.159656500899927,24.100343499100074
2019-01-15 00:00:00,1.7159999999999995,7.152344884299962,-5.436344884299963
2019-01-16 00:00:00,2.188,5.559507687799849,-3.371507687799849
2019-01-17 00:00:00,25.152000000000008,6.128046607999748,19.02395339200026
2019-01-18 00:00:00,41.79999999999999,7.0457676738001265,34.75423232619986
2019-01-19 00:00:00,37.22400000000002,9.467491768500167,27.75650823149985
2019-01-20 00:00:00,47.84000000000001,10.31261061160012,37.52738938839989
2019-01-21 00:00:00,33.668,7.494306126299761,26.173693873700238
2019-01-22 00:00:00,43.96,7.072354172999893,36.88764582700011
2019-01-23 00:00:00,42.65199999999999,7.936510333900058,34.71548966609993
2019-01-24 00:00:00,26.595999999999997,5.589875405300517,21.00612459469948
2019-01-25 00:00:00,15.184000000000001,5.477687538099871,9.70631246190013
2019-01-26 00:00:00,3.144,7.226426152500151,-4.082426152500151
2019-01-27 00:00:00,9.252000000000004,7.81428200179971,1.4377179982002941
2019-01-28 00:00:00,28.491999999999987,6.525399966599706,21.96660003340028
2019-01-29 00:00:00,33.588000000000015,13.72891868650049,19.859081313499523
2019-01-30 00:00:00,28.291999999999998,6.2324102730999575,22.05958972690004
2019-01-31 00:00:00,24.35599999999999,6.685422869299599,17.67057713070039
2019-02-01 00:00:00,20.340000000000003,7.522821852100605,12.817178147899398
2019-02-02 00:00:00,2.9119999999999995,8.867782433999308,-5.955782433999309
2019-02-03 00:00:00,4.327999999999999,6.645687138300217,-2.3176871383002178
2019-02-04 00:00:00,48.36799999999998,7.380597169199972,40.98740283080001
2019-02-05 00:00:00,15.464,9.598448697000093,5.865551302999908
2019-02-06 00:00:00,31.70800000000001,8.926276807500015,22.781723192499996
2019-02-07 00:00:00,18.312000000000005,7.08865634379981,11.223343656200194
2019-02-08 00:00:00,47.052000000000035,8.736130071599746,38.31586992840029
2019-02-09 00:00:00,36.900000000000034,5.376822942200305,31.523177057799728
2019-02-10 00:00:00,3.4719999999999995,6.398793597400071,-2.9267935974000716
2019-02-11 00:00:00,27.42799999999998,6.398793597300027,21.029206402699952
2019-02-12 00:00:00,58.296,6.3987935973996155,51.89720640260038
2019-02-13 00:00:00,2.588,8.541076238600452,-5.953076238600452
2019-02-14 00:00:00,44.172,6.819348434400125,37.35265156559987
2019-02-15 00:00:00,63.503999999999984,6.819348434499715,56.68465156550027
2019-02-16 00:00:00,65.464,6.819348434399671,58.64465156560033
2019-02-17 00:00:00,48.592000000000006,8.148676873400289,40.443323126599715
2019-02-18 00:00:00,58.72400000000002,5.800542898400179,52.92345710159984
2019-02-19 00:00:00,22.823999999999995,5.255934499100021,17.568065500899973
2019-02-20 00:00:00,24.19999999999999,5.43303096440013,18.766969035599857
2019-02-21 00:00:00,15.616000000000005,5.752332853900042,9.863667146099964
2019-02-22 00:00:00,73.57599999999998,7.287511240299408,66.28848875970057
2019-02-23 00:00:00,67.24400000000001,11.073068843500549,56.170931156499464
2019-02-24 00:00:00,53.10799999999999,6.378846638200229,46.72915336179976
2019-02-25 00:00:00,69.768,5.860712659299678,63.90728734070032
2019-02-26 00:00:00,50.16400000000001,5.83478623990004,44.32921376009997
2019-02-27 00:00:00,54.81600000000002,5.83478623990004,48.981213760099976
2019-02-28 00:00:00,53.540000000000006,5.834786239899585,47.70521376010042
2019-03-01 00:00:00,8.911999999999999,11.538664840300497,-2.6266648403004975
2019-03-02 00:00:00,31.524,6.840735620099622,24.68326437990038
2019-03-03 00:00:00,9.379999999999997,6.840735619999577,2.5392643800004207
2019-03-04 00:00:00,34.0,6.840735620100531,27.15926437989947
2019-03-05 00:00:00,49.091999999999985,6.813357717200232,42.27864228279975
2019-03-06 00:00:00,27.364,8.348698898900238,19.015301101099762
2019-03-07 00:00:00,25.62000000000001,7.056395802499991,18.56360419750002
2019-03-08 00:00:00,31.031999999999996,6.870288443199114,24.16171155680088
2019-03-09 00:00:00,42.044,6.870288443200024,35.17371155679997
2019-03-10 00:00:00,17.715999999999994,6.870288443300523,10.84571155669947
2019-03-11 00:00:00,25.94,7.4805112490003,18.4594887509997
2019-03-12 00:00:00,43.448000000000015,7.272894370599714,36.1751056294003
2019-03-13 00:00:00,66.79600000000002,6.900820574199769,59.89517942580025
2019-03-14 00:00:00,15.168,6.900820574199769,8.26717942580023
2019-03-15 00:00:00,32.364000000000004,6.9008205742006785,25.463179425799325
2019-03-16 00:00:00,21.656000000000002,6.974153736299285,14.681846263700717
2019-03-17 00:00:00,47.16400000000002,6.281346460500572,40.88265353949945
