interval,pv_150,load_150,surplus
2019-01-01 00:00:00,16.896000000000004,18.543395188699833,-1.6473951886998286
2019-01-02 00:00:00,65.83600000000001,25.508693745099663,40.32730625490035
2019-01-03 00:00:00,24.224,21.897965031800595,2.326034968199405
2019-01-04 00:00:00,1.5160000000000002,16.594540740400586,-15.078540740400586
2019-01-05 00:00:00,22.36000000000001,18.71313258109967,3.6468674189003387
2019-01-06 00:00:00,47.896,20.732816205199924,27.163183794800076
2019-01-07 00:00:00,2.8159999999999994,28.111095772000226,-25.295095772000227
2019-01-08 00:00:00,3.5599999999999996,21.00526438589895,-17.445264385898952
2019-01-09 00:00:00,6.831999999999999,21.38711509570112,-14.55511509570112
2019-01-10 00:00:00,55.81599999999999,18.9506638353987,36.86533616460129
2019-01-11 00:00:00,1.944,24.8734994585011,-22.929499458501102
2019-01-12 00:00:00,7.504000000000005,15.908347904299262,-8.404347904299257
2019-01-13 00:00:00,10.351999999999997,17.597742806600763,-7.2457428066007665
2019-01-14 00:00:00,75.64399999999999,17.84206074799931,57.80193925200068
2019-01-15 00:00:00,4.295999999999999,17.84206074800022,-13.546060748000219
2019-01-16 00:00:00,5.476000000000002,17.84206074800022,-12.366060748000216
2019-01-17 00:00:00,62.89199999999998,17.84206074799931,45.04993925200067
2019-01-18 00:00:00,104.46000000000004,17.842060748001128,86.6179392519989
2019-01-19 00:00:00,93.07999999999998,17.84206074799931,75.23793925200067
2019-01-20 00:00:00,119.60799999999995,17.84206074800022,101.76593925199973
2019-01-21 00:00:00,84.19199999999998,17.84206074800022,66.34993925199976
2019-01-22 00:00:00,109.92000000000002,17.842060747899264,92.07793925210075
2019-01-23 00:00:00,106.64399999999998,17.84206074800022,88.80193925199976
2019-01-24 00:00:00,66.52000000000001,17.842060748001128,48.67793925199888
2019-01-25 00:00:00,37.95200000000003,17.84206074799931,20.109939252000718
2019-01-26 00:00:00,7.884000000000001,17.84206074800022,-9.958060748000218
2019-01-27 00:00:00,23.128,17.84206074799931,5.285939252000691
2019-01-28 00:00:00,71.26000000000003,17.84206074800022,53.41793925199981
2019-01-29 00:00:00,83.84799999999997,17.84206074800022,66.00593925199975
2019-01-30 00:00:00,70.70799999999998,17.84206074799931,52.86593925200067
2019-01-31 00:00:00,60.93200000000001,17.842060748001128,43.089939251998885
2019-02-01 00:00:00,50.82800000000004,17.84206074799931,32.98593925200073
2019-02-02 00:00:00,7.292000000000001,19.557112986299217,-12.265112986299215
2019-02-03 00:00:00,10.832000000000003,25.97862313170117,-15.146623131701167
2019-02-04 00:00:00,120.91199999999999,19.849346119899565,101.06265388010043
2019-02-05 00:00:00,38.672000000000004,19.80506494670044,18.866935053299564
2019-02-06 00:00:00,79.25200000000002,16.007809204399564,63.24419079560046
2019-02-07 00:00:00,45.81200000000001,18.807441968000603,27.00455803199941
2019-02-08 00:00:00,117.61999999999999,18.70702303140024,98.91297696859975
2019-02-09 00:00:00,92.256,19.09393739209918,73.16206260790082
2019-02-10 00:00:00,8.684,29.659665605599912,-20.975665605599914
2019-02-11 00:00:00,68.63999999999999,17.357632939099858,51.28236706090013
2019-02-12 00:00:00,145.72400000000007,15.981965934100115,129.74203406589996
2019-02-13 00:00:00,6.487999999999998,17.935491533900855,-11.447491533900857
2019-02-14 00:00:00,110.47600000000004,13.608537532800254,96.86746246719979
2019-02-15 00:00:00,158.76799999999997,19.794965390799007,138.97303460920097
2019-02-16 00:00:00,163.63999999999993,17.873227036799108,145.76677296320082
2019-02-17 00:00:00,121.50799999999997,29.624271589301316,91.88372841069865
2019-02-18 00:00:00,146.84000000000003,15.387393514300127,131.4526064856999
2019-02-19 00:00:00,57.095999999999975,15.138593179899544,41.95740682010043
2019-02-20 00:00:00,60.44,18.271438112600663,42.168561887399335
2019-02-21 00:00:00,39.059999999999995,14.796989132698398,24.263010867301595
2019-02-22 00:00:00,183.94000000000003,16.2210866396008,167.71891336039923
2019-02-23 00:00:00,168.11600000000004,19.217717046799404,148.89828295320063
2019-02-24 00:00:00,132.75200000000004,21.819125894600802,110.93287410539924
2019-02-25 00:00:00,174.42799999999988,14.902713958600541,159.52528604139934
2019-02-26 00:00:00,125.45600000000002,14.498221551200004,110.95777844880001
2019-02-27 00:00:00,137.09199999999993,24.813697010398755,112.27830298960117
2019-02-28 00:00:00,133.84000000000015,14.11940952810073,119.72059047189941
2019-03-01 00:00:00,22.28000000000002,19.021168758599742,3.2588312414002765
2019-03-02 00:00:00,78.83599999999994,17.394527688399645,61.44147231160029
2019-03-03 00:00:00,23.428,18.16296142680039,5.265038573199611
2019-03-04 00:00:00,85.02399999999996,19.74541857650001,65.27858142349994
2019-03-05 00:00:00,122.73200000000006,15.434717347899094,107.29728265210096
2019-03-06 00:00:00,68.388,16.822346214501522,51.56565378549848
2019-03-07 00:00:00,64.088,11.982261033099348,52.105738966900645
2019-03-08 00:00:00,77.608,15.09625808290002,62.51174191709998
2019-03-09 00:00:00,105.124,13.973581144799937,91.15041885520006
2019-03-10 00:00:00,44.30000000000001,23.407937162299277,20.892062837700735
2019-03-11 00:00:00,64.884,19.416155062700454,45.467844937299546
2019-03-12 00:00:00,108.60400000000001,13.767869430000246,94.83613056999977
2019-03-13 00:00:00,166.97199999999998,12.60018159250012,154.37181840749986
2019-03-14 00:00:00,37.91200000000003,13.120306088500001,24.791693911500026
2019-03-15 00:00:00,80.82799999999997,15.159436629999618,65.66856337000036
2019-03-16 00:00:00,54.13599999999998,24.656698649200735,29.479301350799247
2019-03-17 00:00:00,117.87199999999999,20.140411884400237,97.73158811559975
