,interval,kWh
0,2020-01-01T00:00,0.128
1,2020-01-01T00:15,0.128
2,2020-01-01T00:30,0.128
3,2020-01-01T00:45,0.128
4,2020-01-01T01:00,0.128
5,2020-01-01T01:15,0.128
6,2020-01-01T01:30,0.128
7,2020-01-01T01:45,0.128
8,2020-01-01T02:00,0.128
9,2020-01-01T02:15,0.128
10,2020-01-01T02:30,0.128
11,2020-01-01T02:45,0.128
12,2020-01-01T03:00,0.128
13,2020-01-01T03:15,0.128
14,2020-01-01T03:30,0.128
15,2020-01-01T03:45,0.128
16,2020-01-01T04:00,0.128
17,2020-01-01T04:15,0.128
18,2020-01-01T04:30,0.128
19,2020-01-01T04:45,0.128
20,2020-01-01T05:00,0.128
21,2020-01-01T05:15,0.128
22,2020-01-01T05:30,0.128
23,2020-01-01T05:45,0.128
24,2020-01-01T06:00,0.128
25,2020-01-01T06:15,0.128
26,2020-01-01T06:30,0.128
27,2020-01-01T06:45,0.128
28,2020-01-01T07:00,0.128
29,2020-01-01T07:15,0.128
30,2020-01-01T07:30,0.128
31,2020-01-01T07:45,0.128
32,2020-01-01T08:00,0.128
33,2020-01-01T08:15,0.128
34,2020-01-01T08:30,0.128
35,2020-01-01T08:45,0.128
36,2020-01-01T09:00,0.128
37,2020-01-01T09:15,0.128
38,2020-01-01T09:30,0.128
39,2020-01-01T09:45,0.128
40,2020-01-01T10:00,0.128
41,2020-01-01T10:15,0.128
42,2020-01-01T10:30,0.128
43,2020-01-01T10:45,0.128
44,2020-01-01T11:00,0.128
45,2020-01-01T11:15,0.128
46,2020-01-01T11:30,0.128
47,2020-01-01T11:45,0.128
48,2020-01-01T12:00,0.128
49,2020-01-01T12:15,0.128
50,2020-01-01T12:30,0.128
51,2020-01-01T12:45,0.128
52,2020-01-01T13:00,0.128
53,2020-01-01T13:15,0.128
54,2020-01-01T13:30,0.128
55,2020-01-01T13:45,0.128
56,2020-01-01T14:00,0.128
57,2020-01-01T14:15,0.128
58,2020-01-01T14:30,0.128
59,2020-01-01T14:45,0.128
60,2020-01-01T15:00,0.128
61,2020-01-01T15:15,0.128
62,2020-01-01T15:30,0.128
63,2020-01-01T15:45,0.128
64,2020-01-01T16:00,0.128
65,2020-01-01T16:15,0.128
66,2020-01-01T16:30,0.128
67,2020-01-01T16:45,0.128
68,2020-01-01T17:00,0.128
69,2020-01-01T17:15,0.128
70,2020-01-01T17:30,0.128
71,2020-01-01T17:45,0.128
72,2020-01-01T18:00,0.128
73,2020-01-01T18:15,0.128
74,2020-01-01T18:30,0.128
75,2020-01-01T18:45,0.128
76,2020-01-01T19:00,0.128
77,2020-01-01T19:15,0.128
78,2020-01-01T19:30,0.128
79,2020-01-01T19:45,0.128
80,2020-01-01T20:00,0.128
81,2020-01-01T20:15,0.128
82,2020-01-01T20:30,0.128
83,2020-01-01T20:45,0.128
84,2020-01-01T21:00,0.128
85,2020-01-01T21:15,0.128
86,2020-01-01T21:30,0.128
87,2020-01-01T21:45,0.128
88,2020-01-01T22:00,0.128
89,2020-01-01T22:15,0.128
90,2020-01-01T22:30,0.128
91,2020-01-01T22:45,0.128
92,2020-01-01T23:00,0.128
93,2020-01-01T23:15,0.128
94,2020-01-01T23:30,0.128
95,2020-01-01T23:45,0.128
96,2020-01-02T00:00,0.128
97,2020-01-02T00:15,0.128
98,2020-01-02T00:30,0.128
99,2020-01-02T00:45,0.128
100,2020-01-02T01:00,0.128
101,2020-01-02T01:15,0.128
102,2020-01-02T01:30,0.128
103,2020-01-02T01:45,0.128
104,2020-01-02T02:00,0.128
105,2020-01-02T02:15,0.128
106,2020-01-02T02:30,0.128
107,2020-01-02T02:45,0.128
108,2020-01-02T03:00,0.128
109,2020-01-02T03:15,0.128
110,2020-01-02T03:30,0.128
111,2020-01-02T03:45,0.128
112,2020-01-02T04:00,0.128
113,2020-01-02T04:15,0.128
114,2020-01-02T04:30,0.128
115,2020-01-02T04:45,0.128
116,2020-01-02T05:00,0.128
117,2020-01-02T05:15,0.128
118,2020-01-02T05:30,0.128
119,2020-01-02T05:45,0.128
120,2020-01-02T06:00,0.128
121,2020-01-02T06:15,0.128
122,2020-01-02T06:30,0.128
123,2020-01-02T06:45,0.128
124,2020-01-02T07:00,0.128
125,2020-01-02T07:15,0.128
126,2020-01-02T07:30,0.128
127,2020-01-02T07:45,0.128
128,2020-01-02T08:00,0.128
129,2020-01-02T08:15,0.128
130,2020-01-02T08:30,0.128
131,2020-01-02T08:45,0.128
132,2020-01-02T09:00,0.128
133,2020-01-02T09:15,0.128
134,2020-01-02T09:30,0.128
135,2020-01-02T09:45,0.128
136,2020-01-02T10:00,0.128
137,2020-01-02T10:15,0.128
138,2020-01-02T10:30,0.128
139,2020-01-02T10:45,0.128
140,2020-01-02T11:00,0.128
141,2020-01-02T11:15,0.128
142,2020-01-02T11:30,0.128
143,2020-01-02T11:45,0.128
144,2020-01-02T12:00,0.128
145,2020-01-02T12:15,0.128
146,2020-01-02T12:30,0.128
147,2020-01-02T12:45,0.128
148,2020-01-02T13:00,0.128
149,2020-01-02T13:15,0.128
150,2020-01-02T13:30,0.128
151,2020-01-02T13:45,0.128
152,2020-01-02T14:00,0.128
153,2020-01-02T14:15,0.128
154,2020-01-02T14:30,0.128
155,2020-01-02T14:45,0.128
156,2020-01-02T15:00,0.128
157,2020-01-02T15:15,0.128
158,2020-01-02T15:30,0.128
159,2020-01-02T15:45,0.128
160,2020-01-02T16:00,0.128
161,2020-01-02T16:15,0.128
162,2020-01-02T16:30,0.128
163,2020-01-02T16:45,0.128
164,2020-01-02T17:00,0.128
165,2020-01-02T17:15,0.128
166,2020-01-02T17:30,0.128
167,2020-01-02T17:45,0.128
168,2020-01-02T18:00,0.141
169,2020-01-02T18:15,0.226
170,2020-01-02T18:30,0.119
171,2020-01-02T18:45,0.119
172,2020-01-02T19:00,0.119
173,2020-01-02T19:15,0.119
174,2020-01-02T19:30,0.119
175,2020-01-02T19:45,0.119
176,2020-01-02T20:00,0.119
177,2020-01-02T20:15,0.119
178,2020-01-02T20:30,0.119
179,2020-01-02T20:45,0.119
180,2020-01-02T21:00,0.119
181,2020-01-02T21:15,0.119
182,2020-01-02T21:30,0.119
183,2020-01-02T21:45,0.119
184,2020-01-02T22:00,0.119
185,2020-01-02T22:15,0.119
186,2020-01-02T22:30,0.119
187,2020-01-02T22:45,0.119
188,2020-01-02T23:00,0.119
189,2020-01-02T23:15,0.119
190,2020-01-02T23:30,0.119
191,2020-01-02T23:45,0.119
192,2020-01-03T00:00,0.119
193,2020-01-03T00:15,0.119
194,2020-01-03T00:30,0.119
195,2020-01-03T00:45,0.119
196,2020-01-03T01:00,0.119
197,2020-01-03T01:15,0.119
198,2020-01-03T01:30,0.119
199,2020-01-03T01:45,0.119
200,2020-01-03T02:00,0.119
201,2020-01-03T02:15,0.119
202,2020-01-03T02:30,0.119
203,2020-01-03T02:45,0.119
204,2020-01-03T03:00,0.119
205,2020-01-03T03:15,0.119
206,2020-01-03T03:30,0.119
207,2020-01-03T03:45,0.119
208,2020-01-03T04:00,0.119
209,2020-01-03T04:15,0.119
210,2020-01-03T04:30,0.119
211,2020-01-03T04:45,0.119
212,2020-01-03T05:00,0.119
213,2020-01-03T05:15,0.119
214,2020-01-03T05:30,0.119
215,2020-01-03T05:45,0.119
216,2020-01-03T06:00,0.119
217,2020-01-03T06:15,0.119
218,2020-01-03T06:30,0.119
219,2020-01-03T06:45,0.119
220,2020-01-03T07:00,0.119
221,2020-01-03T07:15,0.119
222,2020-01-03T07:30,0.119
223,2020-01-03T07:45,0.119
