,interval,kWh
0,2020-01-01T00:00,0.343
1,2020-01-01T00:15,0.154
2,2020-01-01T00:30,0.107
3,2020-01-01T00:45,0.12
4,2020-01-01T01:00,0.134
5,2020-01-01T01:15,0.145
6,2020-01-01T01:30,0.129
7,2020-01-01T01:45,0.12
8,2020-01-01T02:00,0.126
9,2020-01-01T02:15,0.116
10,2020-01-01T02:30,0.122
11,2020-01-01T02:45,0.114
12,2020-01-01T03:00,0.108
13,2020-01-01T03:15,0.123
14,2020-01-01T03:30,0.116
15,2020-01-01T03:45,0.11
16,2020-01-01T04:00,0.13
17,2020-01-01T04:15,0.132
18,2020-01-01T04:30,0.115
19,2020-01-01T04:45,0.121
20,2020-01-01T05:00,0.114
21,2020-01-01T05:15,0.089
22,2020-01-01T05:30,0.073
23,2020-01-01T05:45,0.084
24,2020-01-01T06:00,0.063
25,2020-01-01T06:15,0.041
26,2020-01-01T06:30,0.053
27,2020-01-01T06:45,0.063
28,2020-01-01T07:00,0.044
29,2020-01-01T07:15,0.047
30,2020-01-01T07:30,0.055
31,2020-01-01T07:45,0.054
32,2020-01-01T08:00,0.066
33,2020-01-01T08:15,0.051
34,2020-01-01T08:30,0.075
35,2020-01-01T08:45,0.042
36,2020-01-01T09:00,0.052
37,2020-01-01T09:15,0.044
38,2020-01-01T09:30,0.093
39,2020-01-01T09:45,0.044
40,2020-01-01T10:00,0.039
41,2020-01-01T10:15,0.048
42,2020-01-01T10:30,0.049
43,2020-01-01T10:45,0.039
44,2020-01-01T11:00,0.05
45,2020-01-01T11:15,0.048
46,2020-01-01T11:30,0.064
47,2020-01-01T11:45,0.06
48,2020-01-01T12:00,0.053
49,2020-01-01T12:15,0.061
50,2020-01-01T12:30,0.039
51,2020-01-01T12:45,0.063
52,2020-01-01T13:00,0.088
53,2020-01-01T13:15,0.05
54,2020-01-01T13:30,0.044
55,2020-01-01T13:45,0.052
56,2020-01-01T14:00,0.064
57,2020-01-01T14:15,0.042
58,2020-01-01T14:30,0.088
59,2020-01-01T14:45,0.103
60,2020-01-01T15:00,0.185
61,2020-01-01T15:15,0.111
62,2020-01-01T15:30,0.076
63,2020-01-01T15:45,0.083
64,2020-01-01T16:00,0.07
65,2020-01-01T16:15,0.058
66,2020-01-01T16:30,0.088
67,2020-01-01T16:45,0.141
68,2020-01-01T17:00,0.156
69,2020-01-01T17:15,0.127
70,2020-01-01T17:30,0.118
71,2020-01-01T17:45,0.121
72,2020-01-01T18:00,0.114
73,2020-01-01T18:15,0.12
