,interval,kWh
187,2020-01-02T22:45,0.199
188,2020-01-02T23:00,0.199
189,2020-01-02T23:15,0.199
190,2020-01-02T23:30,0.199
191,2020-01-02T23:45,0.199
192,2020-01-03T00:00,0.199
193,2020-01-03T00:15,0.199
194,2020-01-03T00:30,0.199
195,2020-01-03T00:45,0.199
196,2020-01-03T01:00,0.199
197,2020-01-03T01:15,0.199
198,2020-01-03T01:30,0.199
199,2020-01-03T01:45,0.199
200,2020-01-03T02:00,0.199
201,2020-01-03T02:15,0.199
202,2020-01-03T02:30,0.199
203,2020-01-03T02:45,0.199
204,2020-01-03T03:00,0.199
205,2020-01-03T03:15,0.199
206,2020-01-03T03:30,0.199
207,2020-01-03T03:45,0.199
208,2020-01-03T04:00,0.199
209,2020-01-03T04:15,0.199
210,2020-01-03T04:30,0.199
211,2020-01-03T04:45,0.199
212,2020-01-03T05:00,0.199
213,2020-01-03T05:15,0.199
214,2020-01-03T05:30,0.199
215,2020-01-03T05:45,0.199
216,2020-01-03T06:00,0.199
217,2020-01-03T06:15,0.199
218,2020-01-03T06:30,0.199
219,2020-01-03T06:45,0.199
220,2020-01-03T07:00,0.199
221,2020-01-03T07:15,0.199
222,2020-01-03T07:30,0.199
223,2020-01-03T07:45,0.199
224,2020-01-03T08:00,0.199
225,2020-01-03T08:15,0.199
226,2020-01-03T08:30,0.199
227,2020-01-03T08:45,0.199
228,2020-01-03T09:00,0.199
229,2020-01-03T09:15,0.199
230,2020-01-03T09:30,0.199
231,2020-01-03T09:45,0.199
232,2020-01-03T10:00,0.199
233,2020-01-03T10:15,0.199
234,2020-01-03T10:30,0.199
235,2020-01-03T10:45,0.199
236,2020-01-03T11:00,0.199
237,2020-01-03T11:15,0.199
238,2020-01-03T11:30,0.199
239,2020-01-03T11:45,0.199
240,2020-01-03T12:00,0.199
241,2020-01-03T12:15,0.199
242,2020-01-03T12:30,0.199
243,2020-01-03T12:45,0.199
244,2020-01-03T13:00,0.199
245,2020-01-03T13:15,0.199
246,2020-01-03T13:30,0.199
247,2020-01-03T13:45,0.199
248,2020-01-03T14:00,0.199
249,2020-01-03T14:15,0.199
250,2020-01-03T14:30,0.199
251,2020-01-03T14:45,0.199
252,2020-01-03T15:00,0.199
253,2020-01-03T15:15,0.199
254,2020-01-03T15:30,0.199
255,2020-01-03T15:45,0.199
256,2020-01-03T16:00,0.199
257,2020-01-03T16:15,0.199
258,2020-01-03T16:30,0.199
259,2020-01-03T16:45,0.199
260,2020-01-03T17:00,0.199
261,2020-01-03T17:15,0.199
262,2020-01-03T17:30,0.199
263,2020-01-03T17:45,0.199
264,2020-01-03T18:00,0.199
265,2020-01-03T18:15,0.199
266,2020-01-03T18:30,0.199
267,2020-01-03T18:45,0.199
268,2020-01-03T19:00,0.199
269,2020-01-03T19:15,0.199
270,2020-01-03T19:30,0.199
271,2020-01-03T19:45,0.199
272,2020-01-03T20:00,0.199
273,2020-01-03T20:15,0.199
274,2020-01-03T20:30,0.199
275,2020-01-03T20:45,0.199
276,2020-01-03T21:00,0.199
277,2020-01-03T21:15,0.199
278,2020-01-03T21:30,0.199
279,2020-01-03T21:45,0.199
280,2020-01-03T22:00,0.199
281,2020-01-03T22:15,0.199
282,2020-01-03T22:30,0.199
283,2020-01-03T22:45,0.199
284,2020-01-03T23:00,0.199
285,2020-01-03T23:15,0.199
286,2020-01-03T23:30,0.199
287,2020-01-03T23:45,0.199
288,2020-01-04T00:00,0.199
289,2020-01-04T00:15,0.199
290,2020-01-04T00:30,0.199
291,2020-01-04T00:45,0.199
292,2020-01-04T01:00,0.199
293,2020-01-04T01:15,0.199
294,2020-01-04T01:30,0.199
295,2020-01-04T01:45,0.199
296,2020-01-04T02:00,0.199
297,2020-01-04T02:15,0.199
298,2020-01-04T02:30,0.199
299,2020-01-04T02:45,0.199
300,2020-01-04T03:00,0.199
301,2020-01-04T03:15,0.199
302,2020-01-04T03:30,0.199
303,2020-01-04T03:45,0.199
304,2020-01-04T04:00,0.199
305,2020-01-04T04:15,0.199
306,2020-01-04T04:30,0.199
307,2020-01-04T04:45,0.199
308,2020-01-04T05:00,0.199
309,2020-01-04T05:15,0.199
310,2020-01-04T05:30,0.199
311,2020-01-04T05:45,0.199
312,2020-01-04T06:00,0.199
313,2020-01-04T06:15,0.199
314,2020-01-04T06:30,0.199
315,2020-01-04T06:45,0.199
316,2020-01-04T07:00,0.199
317,2020-01-04T07:15,0.199
318,2020-01-04T07:30,0.199
319,2020-01-04T07:45,0.199
320,2020-01-04T08:00,0.199
321,2020-01-04T08:15,0.199
322,2020-01-04T08:30,0.199
323,2020-01-04T08:45,0.199
324,2020-01-04T09:00,0.199
325,2020-01-04T09:15,0.199
326,2020-01-04T09:30,0.199
327,2020-01-04T09:45,0.199
328,2020-01-04T10:00,0.199
329,2020-01-04T10:15,0.199
330,2020-01-04T10:30,0.199
331,2020-01-04T10:45,0.199
332,2020-01-04T11:00,0.199
333,2020-01-04T11:15,0.199
334,2020-01-04T11:30,0.199
335,2020-01-04T11:45,0.199
336,2020-01-04T12:00,0.199
337,2020-01-04T12:15,0.199
338,2020-01-04T12:30,0.199
339,2020-01-04T12:45,0.199
340,2020-01-04T13:00,0.199
341,2020-01-04T13:15,0.199
342,2020-01-04T13:30,0.199
343,2020-01-04T13:45,0.199
344,2020-01-04T14:00,0.199
345,2020-01-04T14:15,0.199
346,2020-01-04T14:30,0.199
347,2020-01-04T14:45,0.199
348,2020-01-04T15:00,0.199
349,2020-01-04T15:15,0.199
350,2020-01-04T15:30,0.199
351,2020-01-04T15:45,0.199
352,2020-01-04T16:00,0.199
353,2020-01-04T16:15,0.199
354,2020-01-04T16:30,0.199
355,2020-01-04T16:45,0.199
356,2020-01-04T17:00,0.199
357,2020-01-04T17:15,0.199
358,2020-01-04T17:30,0.199
359,2020-01-04T17:45,0.199
360,2020-01-04T18:00,0.199
361,2020-01-04T18:15,0.199
362,2020-01-04T18:30,0.199
363,2020-01-04T18:45,0.199
364,2020-01-04T19:00,0.199
365,2020-01-04T19:15,0.199
366,2020-01-04T19:30,0.199
367,2020-01-04T19:45,0.199
368,2020-01-04T20:00,0.199
369,2020-01-04T20:15,0.199
370,2020-01-04T20:30,0.199
371,2020-01-04T20:45,0.199
372,2020-01-04T21:00,0.199
373,2020-01-04T21:15,0.199
374,2020-01-04T21:30,0.199
375,2020-01-04T21:45,0.199
376,2020-01-04T22:00,0.199
377,2020-01-04T22:15,0.199
378,2020-01-04T22:30,0.199
379,2020-01-04T22:45,0.199
380,2020-01-04T23:00,0.199
381,2020-01-04T23:15,0.199
382,2020-01-04T23:30,0.199
383,2020-01-04T23:45,0.199
384,2020-01-05T00:00,0.199
385,2020-01-05T00:15,0.199
386,2020-01-05T00:30,0.199
387,2020-01-05T00:45,0.199
388,2020-01-05T01:00,0.199
389,2020-01-05T01:15,0.199
390,2020-01-05T01:30,0.199
391,2020-01-05T01:45,0.199
392,2020-01-05T02:00,0.199
393,2020-01-05T02:15,0.199
394,2020-01-05T02:30,0.199
395,2020-01-05T02:45,0.199
396,2020-01-05T03:00,0.199
397,2020-01-05T03:15,0.199
398,2020-01-05T03:30,0.199
399,2020-01-05T03:45,0.199
