,interval,kWh
0,2020-01-01T00:00,0.161
1,2020-01-01T00:15,0.12
2,2020-01-01T00:30,0.111
3,2020-01-01T00:45,0.113
4,2020-01-01T01:00,0.131
5,2020-01-01T01:15,0.129
6,2020-01-01T01:30,0.085
7,2020-01-01T01:45,0.132
8,2020-01-01T02:00,0.106
9,2020-01-01T02:15,0.08
10,2020-01-01T02:30,0.083
11,2020-01-01T02:45,0.12
12,2020-01-01T03:00,0.081
13,2020-01-01T03:15,0.081
14,2020-01-01T03:30,0.09
15,2020-01-01T03:45,0.118
16,2020-01-01T04:00,0.083
17,2020-01-01T04:15,0.084
18,2020-01-01T04:30,0.106
19,2020-01-01T04:45,0.113
20,2020-01-01T05:00,0.085
21,2020-01-01T05:15,0.089
22,2020-01-01T05:30,0.098
23,2020-01-01T05:45,0.098
24,2020-01-01T06:00,0.082
25,2020-01-01T06:15,0.084
26,2020-01-01T06:30,0.133
27,2020-01-01T06:45,0.086
28,2020-01-01T07:00,0.091
29,2020-01-01T07:15,0.099
30,2020-01-01T07:30,0.103
31,2020-01-01T07:45,0.084
32,2020-01-01T08:00,0.108
33,2020-01-01T08:15,0.117
34,2020-01-01T08:30,0.121
35,2020-01-01T08:45,0.113
36,2020-01-01T09:00,0.094
37,2020-01-01T09:15,0.124
38,2020-01-01T09:30,0.084
39,2020-01-01T09:45,0.131
40,2020-01-01T10:00,0.139
41,2020-01-01T10:15,0.138
42,2020-01-01T10:30,0.132
43,2020-01-01T10:45,0.145
44,2020-01-01T11:00,0.228
45,2020-01-01T11:15,0.139
46,2020-01-01T11:30,0.12
47,2020-01-01T11:45,0.203
48,2020-01-01T12:00,0.225
49,2020-01-01T12:15,0.176
50,2020-01-01T12:30,0.18
51,2020-01-01T12:45,0.158
52,2020-01-01T13:00,0.174
53,2020-01-01T13:15,0.146
54,2020-01-01T13:30,0.149
55,2020-01-01T13:45,0.177
56,2020-01-01T14:00,0.145
57,2020-01-01T14:15,0.144
58,2020-01-01T14:30,0.141
59,2020-01-01T14:45,0.168
60,2020-01-01T15:00,0.137
61,2020-01-01T15:15,0.179
62,2020-01-01T15:30,0.174
