# Renewables.ninja Weather (Point API) - 52.528, 13.391 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Berlin, temperature in ºC, radiation_surface in W/m², cloud_cover in fraction
# {"units": {"time": "UTC", "local_time": "Europe/Berlin", "temperature": "\u00baC", "radiation_surface": "W/m\u00b2", "cloud_cover": "fraction"}, "params": {"local_time": true, "header": true, "lat": "52.52829799629117", "lon": "13.390741986643924", "date_from": "2020-01-01", "date_to": "2020-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": true, "var_swtdn": false, "var_cldtot": true}}
time,local_time,temperature,radiation_surface,cloud_cover
2020-01-01 00:00,2020-01-01 01:00,0.812,0,0.967
2020-01-01 01:00,2020-01-01 02:00,0.772,0,0.962
2020-01-01 02:00,2020-01-01 03:00,0.710,0,0.957
2020-01-01 03:00,2020-01-01 04:00,0.693,0,0.911
2020-01-01 04:00,2020-01-01 05:00,0.616,0,0.866
2020-01-01 05:00,2020-01-01 06:00,0.482,0,0.804
2020-01-01 06:00,2020-01-01 07:00,0.425,0,0.806
2020-01-01 07:00,2020-01-01 08:00,0.449,5.470,0.825
2020-01-01 08:00,2020-01-01 09:00,0.846,38.548,0.849
2020-01-01 09:00,2020-01-01 10:00,1.083,75.004,0.889
2020-01-01 10:00,2020-01-01 11:00,1.625,101.882,0.928
2020-01-01 11:00,2020-01-01 12:00,2.196,108.131,0.914
2020-01-01 12:00,2020-01-01 13:00,2.635,92.061,0.874
2020-01-01 13:00,2020-01-01 14:00,2.724,56.399,0.866
2020-01-01 14:00,2020-01-01 15:00,2.344,13.100,0.855
2020-01-01 15:00,2020-01-01 16:00,1.937,0,0.733
2020-01-01 16:00,2020-01-01 17:00,1.393,0,0.420
2020-01-01 17:00,2020-01-01 18:00,-0.052,0,0.155
2020-01-01 18:00,2020-01-01 19:00,-1.257,0,0.367
2020-01-01 19:00,2020-01-01 20:00,-1.861,0,0.675
2020-01-01 20:00,2020-01-01 21:00,-2.090,0,0.837
2020-01-01 21:00,2020-01-01 22:00,-1.800,0,0.810
2020-01-01 22:00,2020-01-01 23:00,-1.751,0,0.790
2020-01-01 23:00,2020-01-02 00:00,-1.709,0,0.632
2020-01-02 00:00,2020-01-02 01:00,-2.312,0,0.431
2020-01-02 01:00,2020-01-02 02:00,-2.494,0,0.573
2020-01-02 02:00,2020-01-02 03:00,-2.475,0,0.514
2020-01-02 03:00,2020-01-02 04:00,-2.780,0,0.477
2020-01-02 04:00,2020-01-02 05:00,-2.893,0,0.558
2020-01-02 05:00,2020-01-02 06:00,-3.103,0,0.479
2020-01-02 06:00,2020-01-02 07:00,-3.253,0,0.392
2020-01-02 07:00,2020-01-02 08:00,-3.280,12.138,0.383
2020-01-02 08:00,2020-01-02 09:00,-2.318,89.299,0.018
2020-01-02 09:00,2020-01-02 10:00,-0.847,181.859,0
2020-01-02 10:00,2020-01-02 11:00,1.075,229.653,0
2020-01-02 11:00,2020-01-02 12:00,2.664,234.285,0
2020-01-02 12:00,2020-01-02 13:00,3.427,195.018,0
2020-01-02 13:00,2020-01-02 14:00,2.407,118.975,0
2020-01-02 14:00,2020-01-02 15:00,0.195,28.109,0
2020-01-02 15:00,2020-01-02 16:00,-0.672,0,0
2020-01-02 16:00,2020-01-02 17:00,-0.583,0,0
2020-01-02 17:00,2020-01-02 18:00,-0.812,0,0
2020-01-02 18:00,2020-01-02 19:00,-1.134,0,0
2020-01-02 19:00,2020-01-02 20:00,-1.443,0,0
2020-01-02 20:00,2020-01-02 21:00,-1.682,0,0.087
2020-01-02 21:00,2020-01-02 22:00,-1.486,0,0.421
2020-01-02 22:00,2020-01-02 23:00,-1.019,0,0.694
2020-01-02 23:00,2020-01-03 00:00,-0.177,0,0.900
2020-01-03 00:00,2020-01-03 01:00,0.512,0,0.876
2020-01-03 01:00,2020-01-03 02:00,1.007,0,0.799
2020-01-03 02:00,2020-01-03 03:00,1.174,0,0.625
2020-01-03 03:00,2020-01-03 04:00,0.805,0,0.486
2020-01-03 04:00,2020-01-03 05:00,0.313,0,0.344
2020-01-03 05:00,2020-01-03 06:00,-0.107,0,0.347
2020-01-03 06:00,2020-01-03 07:00,-0.421,0,0.538
2020-01-03 07:00,2020-01-03 08:00,-0.036,9.179,0.838
2020-01-03 08:00,2020-01-03 09:00,1.208,39.380,0.945
2020-01-03 09:00,2020-01-03 10:00,2.504,51.858,0.987
