,interval,Power (W),weekday,month,hour_day,day_type
0,2019-01-01 00:00:00,424.7573992015532,1,1,0,1.0
1,2019-01-01 00:15:00,368.9189363994956,1,1,0,1.0
2,2019-01-01 00:30:00,408.8408732004608,1,1,0,1.0
3,2019-01-01 00:45:00,329.6686663998116,1,1,0,1.0
4,2019-01-01 01:00:00,303.9001207998808,1,1,1,1.0
5,2019-01-01 01:15:00,418.128468798386,1,1,1,1.0
6,2019-01-01 01:30:00,262.5899104004928,1,1,1,1.0
7,2019-01-01 01:45:00,242.3816976006492,1,1,1,1.0
8,2019-01-01 02:00:00,387.1389440009804,1,1,2,1.0
9,2019-01-01 02:15:00,343.9428895999296,1,1,2,1.0
10,2019-01-01 02:30:00,262.0723104009812,1,1,2,1.0
11,2019-01-01 02:45:00,282.6935647990464,1,1,2,1.0
12,2019-01-01 03:00:00,284.1726248007032,1,1,3,1.0
13,2019-01-01 03:15:00,283.5865399993052,1,1,3,1.0
14,2019-01-01 03:30:00,286.3480424002772,1,1,3,1.0
15,2019-01-01 03:45:00,287.5853159985124,1,1,3,1.0
16,2019-01-01 04:00:00,221.0441136012376,1,1,4,1.0
17,2019-01-01 04:15:00,359.5323720001032,1,1,4,1.0
18,2019-01-01 04:30:00,374.6544619989436,1,1,4,1.0
19,2019-01-01 04:45:00,284.4152636007492,1,1,4,1.0
20,2019-01-01 05:00:00,375.497983999594,1,1,5,1.0
21,2019-01-01 05:15:00,546.448879598756,1,1,5,1.0
22,2019-01-01 05:30:00,293.8212252010996,1,1,5,1.0
23,2019-01-01 05:45:00,258.407189601712,1,1,5,1.0
24,2019-01-01 06:00:00,410.911091197704,1,1,6,1.0
25,2019-01-01 06:15:00,337.4928432021988,1,1,6,1.0
26,2019-01-01 06:30:00,416.235439999582,1,1,6,1.0
27,2019-01-01 06:45:00,374.3424735985172,1,1,6,1.0
28,2019-01-01 07:00:00,327.4341596024896,1,1,7,1.0
29,2019-01-01 07:15:00,415.0333187990324,1,1,7,1.0
30,2019-01-01 07:30:00,431.9624712006768,1,1,7,1.0
31,2019-01-01 07:45:00,326.0996071985572,1,1,7,1.0
32,2019-01-01 08:00:00,444.1673616001932,1,1,8,1.0
33,2019-01-01 08:15:00,1507.7978303997952,1,1,8,1.0
34,2019-01-01 08:30:00,1490.5262472002505,1,1,8,1.0
35,2019-01-01 08:45:00,516.889119198822,1,1,8,1.0
36,2019-01-01 09:00:00,568.4688595993064,1,1,9,1.0
37,2019-01-01 09:15:00,583.3973900007547,1,1,9,1.0
38,2019-01-01 09:30:00,469.5409056002972,1,1,9,1.0
39,2019-01-01 09:45:00,562.9288867985448,1,1,9,1.0
40,2019-01-01 10:00:00,723.7970140031392,1,1,10,1.0
41,2019-01-01 10:15:00,428.7442751992784,1,1,10,1.0
42,2019-01-01 10:30:00,479.7210527995048,1,1,10,1.0
43,2019-01-01 10:45:00,569.1097372000512,1,1,10,1.0
44,2019-01-01 11:00:00,475.0732235988832,1,1,11,1.0
45,2019-01-01 11:15:00,525.1338736015896,1,1,11,1.0
46,2019-01-01 11:30:00,590.9585976005473,1,1,11,1.0
47,2019-01-01 11:45:00,548.5293663987248,1,1,11,1.0
48,2019-01-01 12:00:00,1522.782550400734,1,1,12,1.0
49,2019-01-01 12:15:00,1669.227387599676,1,1,12,1.0
50,2019-01-01 12:30:00,1642.6791291978589,1,1,12,1.0
51,2019-01-01 12:45:00,621.5023044023836,1,1,12,1.0
52,2019-01-01 13:00:00,743.43585240058,1,1,13,1.0
53,2019-01-01 13:15:00,1116.5401979997112,1,1,13,1.0
54,2019-01-01 13:30:00,1739.934322400586,1,1,13,1.0
55,2019-01-01 13:45:00,615.2288467983452,1,1,13,1.0
56,2019-01-01 14:00:00,727.9200600005424,1,1,14,1.0
57,2019-01-01 14:15:00,505.838732000484,1,1,14,1.0
58,2019-01-01 14:30:00,521.4000527994356,1,1,14,1.0
59,2019-01-01 14:45:00,476.927974799764,1,1,14,1.0
60,2019-01-01 15:00:00,393.9498019990424,1,1,15,1.0
61,2019-01-01 15:15:00,559.9497264011004,1,1,15,1.0
62,2019-01-01 15:30:00,501.2400016003084,1,1,15,1.0
63,2019-01-01 15:45:00,391.8283319999316,1,1,15,1.0
64,2019-01-01 16:00:00,510.6636216005424,1,1,16,1.0
65,2019-01-01 16:15:00,576.9717055991348,1,1,16,1.0
66,2019-01-01 16:30:00,450.934023599984,1,1,16,1.0
67,2019-01-01 16:45:00,619.0791411991084,1,1,16,1.0
68,2019-01-01 17:00:00,487.92128560126,1,1,17,1.0
69,2019-01-01 17:15:00,523.0694375986784,1,1,17,1.0
70,2019-01-01 17:30:00,1226.227693601686,1,1,17,1.0
71,2019-01-01 17:45:00,1518.1286983988684,1,1,17,1.0
72,2019-01-01 18:00:00,1711.9542628006457,1,1,18,1.0
73,2019-01-01 18:15:00,1565.613911998298,1,1,18,1.0
74,2019-01-01 18:30:00,756.5072184006564,1,1,18,1.0
75,2019-01-01 18:45:00,520.019956800752,1,1,18,1.0
76,2019-01-01 19:00:00,668.2448916017164,1,1,19,1.0
77,2019-01-01 19:15:00,687.0942359983015,1,1,19,1.0
78,2019-01-01 19:30:00,463.7687892009124,1,1,19,1.0
79,2019-01-01 19:45:00,503.1113743989408,1,1,19,1.0
80,2019-01-01 20:00:00,438.7562035990412,1,1,20,1.0
81,2019-01-01 20:15:00,460.1343232006908,1,1,20,1.0
82,2019-01-01 20:30:00,469.2204528000728,1,1,20,1.0
83,2019-01-01 20:45:00,462.64927159973,1,1,20,1.0
84,2019-01-01 21:00:00,510.481403200174,1,1,21,1.0
85,2019-01-01 21:15:00,524.5785019997128,1,1,21,1.0
86,2019-01-01 21:30:00,554.4413932002496,1,1,21,1.0
87,2019-01-01 21:45:00,417.9651452013784,1,1,21,1.0
88,2019-01-01 22:00:00,464.632236798934,1,1,22,1.0
89,2019-01-01 22:15:00,394.5980864009468,1,1,22,1.0
90,2019-01-01 22:30:00,320.6515263991604,1,1,22,1.0
91,2019-01-01 22:45:00,401.87173439881,1,1,22,1.0
92,2019-01-01 23:00:00,390.2475699997012,1,1,23,1.0
93,2019-01-01 23:15:00,236.396098802288,1,1,23,1.0
