,interval,Power (W),weekday,month,hour_day,day_type
0,2019-01-01 00:00:00,189.5213895986668,1,1,0,1.0
1,2019-01-01 00:15:00,190.85723399985,1,1,0,1.0
2,2019-01-01 00:30:00,190.4442499999276,1,1,0,1.0
3,2019-01-01 00:45:00,185.6814780003332,1,1,0,1.0
4,2019-01-01 01:00:00,187.3025240020068,1,1,1,1.0
5,2019-01-01 01:15:00,183.89792239941,1,1,1,1.0
6,2019-01-01 01:30:00,182.5249663979772,1,1,1,1.0
7,2019-01-01 01:45:00,197.6941268003428,1,1,1,1.0
8,2019-01-01 02:00:00,222.2522655993088,1,1,2,1.0
9,2019-01-01 02:15:00,193.7943576012912,1,1,2,1.0
10,2019-01-01 02:30:00,187.1834247995136,1,1,2,1.0
11,2019-01-01 02:45:00,169.0453656010504,1,1,2,1.0
12,2019-01-01 03:00:00,152.9503828005544,1,1,3,1.0
13,2019-01-01 03:15:00,151.9520111978636,1,1,3,1.0
14,2019-01-01 03:30:00,152.005982799892,1,1,3,1.0
15,2019-01-01 03:45:00,153.0146288023388,1,1,3,1.0
16,2019-01-01 04:00:00,151.9740583971724,1,1,4,1.0
17,2019-01-01 04:15:00,152.5868696007816,1,1,4,1.0
18,2019-01-01 04:30:00,192.9389799988712,1,1,4,1.0
19,2019-01-01 04:45:00,193.7689772021256,1,1,4,1.0
20,2019-01-01 05:00:00,189.4944555988328,1,1,5,1.0
21,2019-01-01 05:15:00,193.7864816009096,1,1,5,1.0
22,2019-01-01 05:30:00,208.5384628007884,1,1,5,1.0
23,2019-01-01 05:45:00,189.331133598898,1,1,5,1.0
24,2019-01-01 06:00:00,158.68923480047638,1,1,6,1.0
25,2019-01-01 06:15:00,158.525634798934,1,1,6,1.0
26,2019-01-01 06:30:00,158.7891908002348,1,1,6,1.0
27,2019-01-01 06:45:00,157.6082536012108,1,1,6,1.0
28,2019-01-01 07:00:00,157.06895039875198,1,1,7,1.0
29,2019-01-01 07:15:00,171.3949780005348,1,1,7,1.0
30,2019-01-01 07:30:00,201.3477551990944,1,1,7,1.0
31,2019-01-01 07:45:00,194.4930288027532,1,1,7,1.0
32,2019-01-01 08:00:00,192.1801503976892,1,1,8,1.0
33,2019-01-01 08:15:00,189.3653040006028,1,1,8,1.0
34,2019-01-01 08:30:00,187.1018343990724,1,1,8,1.0
35,2019-01-01 08:45:00,168.349593201128,1,1,8,1.0
36,2019-01-01 09:00:00,152.0100476009244,1,1,9,1.0
37,2019-01-01 09:15:00,165.8242163975956,1,1,9,1.0
38,2019-01-01 09:30:00,180.5586104019312,1,1,9,1.0
39,2019-01-01 09:45:00,154.8930195986028,1,1,9,1.0
40,2019-01-01 10:00:00,342.7588892027412,1,1,10,1.0
41,2019-01-01 10:15:00,280.5895207966384,1,1,10,1.0
42,2019-01-01 10:30:00,378.3960192031372,1,1,10,1.0
43,2019-01-01 10:45:00,457.8364855969992,1,1,10,1.0
44,2019-01-01 11:00:00,370.5898736006928,1,1,11,1.0
45,2019-01-01 11:15:00,393.352680001044,1,1,11,1.0
46,2019-01-01 11:30:00,396.8487675992944,1,1,11,1.0
47,2019-01-01 11:45:00,461.3872448007896,1,1,11,1.0
48,2019-01-01 12:00:00,422.4071891985656,1,1,12,1.0
49,2019-01-01 12:15:00,438.0864632003064,1,1,12,1.0
