interval,Power (W)
2020-01-18T07:45,797.2382
2020-01-18T08:00,797.2382
2020-01-18T08:15,797.2382
2020-01-18T08:30,797.2382
2020-01-18T08:45,797.2382
2020-01-18T09:00,797.2382
2020-01-18T09:15,797.2382
2020-01-18T09:30,797.2382
2020-01-18T09:45,797.2382
2020-01-18T10:00,797.2382
2020-01-18T10:15,797.2382
2020-01-18T10:30,797.2382
2020-01-18T10:45,797.2382
2020-01-18T11:00,797.2382
2020-01-18T11:15,797.2382
2020-01-18T11:30,797.2382
2020-01-18T11:45,797.2382
2020-01-18T12:00,797.2382
2020-01-18T12:15,797.2382
2020-01-18T12:30,797.2382
2020-01-18T12:45,797.2382
2020-01-18T13:00,797.2382
2020-01-18T13:15,797.2382
2020-01-18T13:30,797.2382
2020-01-18T13:45,797.2382
2020-01-18T14:00,797.2382
2020-01-18T14:15,797.2382
2020-01-18T14:30,797.2382
2020-01-18T14:45,797.2382
2020-01-18T15:00,797.2382
2020-01-18T15:15,797.2382
2020-01-18T15:30,797.2382
2020-01-18T15:45,797.2382
2020-01-18T16:00,797.2382
2020-01-18T16:15,797.2382
2020-01-18T16:30,797.2382
2020-01-18T16:45,797.2382
2020-01-18T17:00,797.2382
2020-01-18T17:15,797.2382
2020-01-18T17:30,797.2382
2020-01-18T17:45,797.2382
2020-01-18T18:00,797.2382
2020-01-18T18:15,797.2382
2020-01-18T18:30,797.2382
2020-01-18T18:45,797.2382
2020-01-18T19:00,797.2382
2020-01-18T19:15,797.2382
2020-01-18T19:30,797.2382
2020-01-18T19:45,797.2382
2020-01-18T20:00,797.2382
2020-01-18T20:15,797.2382
2020-01-18T20:30,797.2382
2020-01-18T20:45,797.2382
2020-01-18T21:00,797.2382
2020-01-18T21:15,797.2382
2020-01-18T21:30,797.2382
2020-01-18T21:45,797.2382
2020-01-18T22:00,797.2382
2020-01-18T22:15,797.2382
2020-01-18T22:30,797.2382
2020-01-18T22:45,797.2382
2020-01-18T23:00,797.2382
2020-01-18T23:15,797.2382
2020-01-18T23:30,797.2382
2020-01-18T23:45,797.2382
2020-01-19T00:00,797.2382
2020-01-19T00:15,797.2382
2020-01-19T00:30,797.2382
2020-01-19T00:45,797.2382
2020-01-19T01:00,797.2382
2020-01-19T01:15,797.2382
2020-01-19T01:30,797.2382
2020-01-19T01:45,797.2382
2020-01-19T02:00,797.2382
2020-01-19T02:15,797.2382
2020-01-19T02:30,797.2382
2020-01-19T02:45,797.2382
2020-01-19T03:00,797.2382
2020-01-19T03:15,797.2382
2020-01-19T03:30,797.2382
2020-01-19T03:45,797.2382
2020-01-19T04:00,797.2382
2020-01-19T04:15,797.2382
2020-01-19T04:30,797.2382
2020-01-19T04:45,797.2382
2020-01-19T05:00,797.2382
2020-01-19T05:15,797.2382
2020-01-19T05:30,797.2382
2020-01-19T05:45,797.2382
2020-01-19T06:00,797.2382
2020-01-19T06:15,797.2382
2020-01-19T06:30,797.2382
2020-01-19T06:45,797.2382
2020-01-19T07:00,797.2382
2020-01-19T07:15,797.2382
2020-01-19T07:30,797.2382
2020-01-19T07:45,797.2382
2020-01-19T08:00,797.2382
2020-01-19T08:15,797.2382
2020-01-19T08:30,797.2382
2020-01-19T08:45,797.2382
2020-01-19T09:00,797.2382
2020-01-19T09:15,797.2382
2020-01-19T09:30,797.2382
2020-01-19T09:45,797.2382
2020-01-19T10:00,797.2382
2020-01-19T10:15,797.2382
2020-01-19T10:30,797.2382
2020-01-19T10:45,797.2382
2020-01-19T11:00,797.2382
2020-01-19T11:15,797.2382
2020-01-19T11:30,797.2382
2020-01-19T11:45,797.2382
2020-01-19T12:00,797.2382
2020-01-19T12:15,797.2382
2020-01-19T12:30,797.2382
2020-01-19T12:45,797.2382
2020-01-19T13:00,797.2382
2020-01-19T13:15,797.2382
2020-01-19T13:30,797.2382
2020-01-19T13:45,797.2382
2020-01-19T14:00,797.2382
2020-01-19T14:15,874.4483
2020-01-19T14:30,739.3737
2020-01-19T14:45,751.1742
2020-01-19T15:00,679.5467
2020-01-19T15:15,685.99005
2020-01-19T15:30,577.8308
2020-01-19T15:45,591.67633
2020-01-19T16:00,1991.5327
2020-01-19T16:15,4379.7896
2020-01-19T16:30,3911.0342
2020-01-19T16:45,3563.1028
2020-01-19T17:00,2618.148
2020-01-19T17:15,1390.2871
2020-01-19T17:30,1004.3631
2020-01-19T17:45,921.3755
2020-01-19T18:00,937.2424
2020-01-19T18:15,965.72217
2020-01-19T18:30,969.4713
2020-01-19T18:45,989.6719
2020-01-19T19:00,1002.16364
2020-01-19T19:15,857.5097
2020-01-19T19:30,908.65936
2020-01-19T19:45,1002.10236
2020-01-19T20:00,958.4946
2020-01-19T20:15,965.96
2020-01-19T20:30,1002.0956
2020-01-19T20:45,941.30194
2020-01-19T21:00,892.4976
2020-01-19T21:15,844.0573
2020-01-19T21:30,900.11676
2020-01-19T21:45,919.5198
2020-01-19T22:00,858.0063
2020-01-19T22:15,973.5095
2020-01-19T22:30,1043.0833
2020-01-19T22:45,1014.22327
2020-01-19T23:00,1061.89
2020-01-19T23:15,986.81946
2020-01-19T23:30,914.6093
2020-01-19T23:45,858.4264
2020-01-20T00:00,851.8977
2020-01-20T00:15,774.78754
2020-01-20T00:30,618.475
2020-01-20T00:45,496.18414
2020-01-20T01:00,493.28384
2020-01-20T01:15,482.99338
2020-01-20T01:30,449.86377
2020-01-20T01:45,471.45264
2020-01-20T02:00,485.74338
2020-01-20T02:15,497.20413
2020-01-20T02:30,480.99918
2020-01-20T02:45,453.78018
2020-01-20T03:00,456.30435
2020-01-20T03:15,457.6316
2020-01-20T03:30,450.6149
2020-01-20T03:45,498.90222
2020-01-20T04:00,492.2338
2020-01-20T04:15,510.99014
2020-01-20T04:30,455.48355
2020-01-20T04:45,523.4107
2020-01-20T05:00,574.1177
2020-01-20T05:15,507.13095
2020-01-20T05:30,462.97714
2020-01-20T05:45,483.225
2020-01-20T06:00,494.71402
2020-01-20T06:15,473.21234
2020-01-20T06:30,475.78625
2020-01-20T06:45,464.35388
2020-01-20T07:00,462.88718
2020-01-20T07:15,457.33704
2020-01-20T07:30,491.33276
2020-01-20T07:45,458.2457
2020-01-20T08:00,469.2611
2020-01-20T08:15,455.91855
2020-01-20T08:30,441.30804
2020-01-20T08:45,442.77576
2020-01-20T09:00,445.28357
2020-01-20T09:15,456.55637
2020-01-20T09:30,473.37653
2020-01-20T09:45,532.48883
2020-01-20T10:00,1209.983
2020-01-20T10:15,903.46594
2020-01-20T10:30,1238.8685
2020-01-20T10:45,481.71567
2020-01-20T11:00,597.84094
2020-01-20T11:15,1261.7542
2020-01-20T11:30,1661.4269
2020-01-20T11:45,478.99973
2020-01-20T12:00,448.51685
2020-01-20T12:15,457.93176
2020-01-20T12:30,450.49203
2020-01-20T12:45,447.4213
2020-01-20T13:00,476.27826
2020-01-20T13:15,675.0404
2020-01-20T13:30,529.82935
2020-01-20T13:45,468.75275
